label,key,cer,wer,mean_similarity,min_similarity,std_similarity,ref_to_hyp_mean,hyp_to_ref_mean,layoutlmv3_cosine_similarity
1.original,08_2022_QH15_m_465916,0.12761072,0.58826037,0.833898,0.63635,0.027754,0.882001,0.871695,1
1.original,08_2026_NQ-HDND_707605,0.14008559,0.52330226,0.823475,0.729031,0.05668,0.889057,0.889057,1
1.original,08_2026_NQ-HDND_710089,0.13874405,0.54402516,0.815049,0.698563,0.051199,0.876095,0.87986,1
1.original,09_2022_QH15_m_513345,0.14002101,0.61507319,0.821446,0.594694,0.049162,0.861701,0.864821,1
1.original,09_2026_NQ-HDND_707045,0.15316561,0.59442332,0.823274,0.72329,0.048345,0.8804,0.874107,1
1.original,09_2026_NQ-HDND_707103,0.13823382,0.53193961,0.822849,0.696537,0.06296,0.900015,0.898292,1
1.original,09_2026_QH16_703956,0.1520111,0.56079404,0.753244,0.508462,0.114366,0.828764,0.872655,1
1.original,100_2025_QH15_688908,0.13210429,0.5667394,0.839225,0.737455,0.022983,0.870297,0.875324,1
1.original,101_2025_QH15_686537,0.1212405,0.5376268,0.842111,0.695914,0.02533,0.875489,0.880044,1
1.original,102_2025_QH15_624015,0.12791507,0.55225708,0.845662,0.741578,0.025853,0.879247,0.881329,1
1.original,103_2025_QH15_686538,0.12602326,0.54898527,0.832035,0.649112,0.033562,0.87083,0.86945,1
1.original,104_2025_QH15_633465,0.13078887,0.5929438,0.830067,0.762724,0.019801,0.863163,0.860248,1
1.original,105_2025_QH15_667661,0.11858111,0.53269972,0.848084,0.410185,0.050866,0.889196,0.882472,1
1.original,106_2025_QH15_628717,0.11589211,0.51431187,0.84902,0.629217,0.029261,0.89412,0.891983,1
1.original,107_2025_QH15_346850,0.12174108,0.52648844,0.83268,0.710232,0.036774,0.885328,0.885001,1
1.original,108_2025_QH15_675268,0.1269889,0.57469271,0.837523,0.65764,0.027339,0.879041,0.87629,1
1.original,109_2025_QH15_665870,0.12726719,0.56559272,0.836482,0.686317,0.028279,0.873943,0.874704,1
1.original,10_2022_QH15_546085,0.12674442,0.55433556,0.840819,0.639218,0.029232,0.887702,0.878781,1
1.original,10_2026_NQ-HDND_707046,0.1234851,0.51768489,0.839187,0.709339,0.053218,0.907112,0.907899,1
1.original,10_2026_NQ-HDND_707105,0.1373913,0.50266667,0.826154,0.721059,0.056643,0.892473,0.891917,1
1.original,110_2025_QH15_581160,0.11917087,0.54532817,0.839159,0.681343,0.029824,0.88078,0.875555,1
1.original,111_2025_QH15_667663,0.14586803,0.64531159,0.820715,0.737378,0.026398,0.863427,0.857621,1
1.original,112_2025_QH15_586814,0.13040673,0.57028872,0.838248,0.519461,0.035657,0.884828,0.880398,1
1.original,113_2025_QH15_443680,0.1189738,0.52372235,0.816152,0.456647,0.07436,0.882198,0.878747,1
1.original,114_2025_QH15_658530,0.12266572,0.55695684,0.820206,0.512568,0.046021,0.867375,0.868879,1
1.original,115_2025_QH15_675264,0.12753036,0.56617233,0.833492,0.694235,0.036176,0.877976,0.876752,1
1.original,116_2025_QH15_666020,0.11933092,0.53484111,0.83249,0.551386,0.050745,0.89169,0.879608,1
1.original,117_2025_QH15_685866,0.13087263,0.57005203,0.841419,0.750172,0.023031,0.878865,0.877644,1
1.original,118_2025_QH15_682798,0.13054191,0.56651163,0.813325,0.565945,0.043669,0.868585,0.872047,1
1.original,119_2025_QH15_685933,0.11775602,0.53661538,0.847644,0.684627,0.051215,0.891083,0.886673,1
1.original,11_2022_QH15_544688,0.10842231,0.49921413,0.852594,0.723749,0.021816,0.889083,0.88437,1
1.original,11_2026_NQ-HDND_707106,0.12382306,0.48445172,0.795917,0.655374,0.085023,0.901825,0.906812,1
1.original,11_2026_NQ-HDND_707159,0.3973702,0.74790069,0.844071,0.614801,0.038519,0.889604,0.887452,1
1.original,11_2026_NQ-HDND_709745,0.1382567,0.5488145,0.793116,0.59535,0.080032,0.882502,0.884591,1
1.original,120_2025_QH15_666019,0.11710714,0.52179907,0.831797,0.49924,0.041574,0.874639,0.873945,1
1.original,121_2025_QH15_689140,0.12600203,0.56421601,0.839648,0.684474,0.025565,0.877209,0.872104,1
1.original,122_2025_QH15_662035,0.13178029,0.59825568,0.837682,0.739522,0.022947,0.875736,0.865927,1
1.original,123_2025_QH15_656970,0.12973002,0.57761428,0.830374,0.603462,0.039851,0.873125,0.872584,1
1.original,124_2025_QH15_687560,0.12585677,0.58001132,0.848961,0.660309,0.027018,0.889206,0.88041,1
1.original,125_2025_QH15_663779,0.12950908,0.5835242,0.848348,0.730135,0.022406,0.883768,0.876963,1
1.original,126_2025_QH15_581548,0.11146038,0.49600689,0.855332,0.748642,0.023906,0.894153,0.894441,1
1.original,127_2025_QH15_686325,0.11695648,0.51787022,0.847593,0.686337,0.028181,0.8955,0.890017,1
1.original,128_2025_QH15_679014,0.13151518,0.5760095,0.80701,0.604332,0.031518,0.859823,0.852456,1
1.original,129_2025_QH15_675261,0.12983062,0.58538752,0.830538,0.478466,0.05138,0.867751,0.871088,1
1.original,12_2022_QH15_505749,0.12156065,0.53908575,0.846121,0.702338,0.023411,0.885557,0.881627,1
1.original,12_2026_NQ-HDND_707158,0.14759324,0.55278592,0.838692,0.760081,0.048161,0.897768,0.902251,1
1.original,12_2026_NQ-HDND_709406,0.1282823,0.54454953,0.79066,0.468408,0.120502,0.872029,0.863436,1
1.original,12_2026_NQ-HDND_709746,0.25236911,0.62562035,0.828328,0.694926,0.039595,0.880307,0.877284,1
1.original,12_NQ-HDND_707831,0.1258888,0.53485647,0.833162,0.619162,0.048127,0.884625,0.887152,1
1.original,12_NQ-HDND_708054,0.11832377,0.53562129,0.841201,0.406917,0.05103,0.889417,0.888462,1
1.original,130_2025_QH15_687674,0.11195956,0.51408072,0.83727,0.547416,0.037638,0.891029,0.884706,1
1.original,131_2025_QH15_675267,0.13300015,0.58595117,0.823683,0.276759,0.074164,0.86488,0.871077,1
1.original,132_2025_QH15_685733,0.11480325,0.50680658,0.836275,0.678965,0.039159,0.874939,0.878198,1
1.original,133_2025_QH15_675211,0.12034596,0.55073678,0.848592,0.64986,0.030181,0.88702,0.884232,1
1.original,134_2025_QH15_679013,0.12399722,0.55154355,0.844559,0.713668,0.025161,0.878107,0.874675,1
1.original,135_2025_QH15_675213,0.12041303,0.536564,0.847947,0.539416,0.033088,0.897165,0.887175,1
1.original,135_NQ-CP_706738,0.12938397,0.534699,0.840791,0.676928,0.042312,0.890531,0.887844,1
1.original,136_2025_QH15__686937,0.13128895,0.58552632,0.810358,0.633123,0.048455,0.870109,0.862169,1
1.original,137_2025_QH15_686549,0.14556326,0.62234043,0.825419,0.731219,0.028629,0.852662,0.860574,1
1.original,138_2025_QH15_686527,0.12241802,0.53618249,0.821609,0.545725,0.078273,0.879046,0.876537,1
1.original,139_2025_QH15_684512,0.1225537,0.55362559,0.812468,0.590827,0.06168,0.861544,0.863646,1
1.original,13_2022_QH15_490095,0.11561068,0.51208119,0.837489,0.53268,0.040331,0.873457,0.875074,1
1.original,13_2026_NQ-HDND_707807,0.13980138,0.53792299,0.807484,0.658941,0.082446,0.904818,0.89758,1
1.original,13_2026_NQ-HDND_709407,0.14287975,0.56277372,0.831388,0.721756,0.044949,0.890229,0.886241,1
1.original,13_2026_NQ-HDND_709751,0.30950504,0.6763285,0.823868,0.677734,0.036897,0.877512,0.876672,1
1.original,140_2025_QH15_675263,0.3257646,0.73436231,0.808884,0.615855,0.05944,0.862517,0.860498,1
1.original,140_NQ-CP_707328,0.13637836,0.52910833,0.824663,0.659639,0.058453,0.889043,0.889662,1
1.original,141_2025_QH15_686550,0.12445803,0.54363785,0.847211,0.708047,0.03225,0.882812,0.885452,1
1.original,141_NQ-CP_708014,0.14275056,0.55503513,0.804667,0.707098,0.051629,0.879786,0.879786,1
1.original,142_2025_QH15_675210,0.12188192,0.54526668,0.841413,0.615999,0.025001,0.882427,0.877248,1
1.original,143_2025_QH15_681550,0.13581701,0.52908956,0.79351,0.471671,0.074121,0.888062,0.885132,1
1.original,143_NQ-CP_709397,0.15889465,0.51764706,0.847631,0.779493,0.052646,0.912009,0.912009,1
1.original,144_2025_QH15_675260,0.11915952,0.52485707,0.839315,0.603672,0.0441,0.886671,0.884395,1
1.original,145_2025_QH15_684669,0.13339997,0.59250225,0.843017,0.75077,0.020478,0.875098,0.872249,1
1.original,146_2025_QH15_675259,0.12723245,0.56110847,0.809452,0.44278,0.065236,0.875318,0.881816,1
1.original,147_2025_QH15_675265,0.11926536,0.5348199,0.829219,0.49545,0.056013,0.876111,0.876155,1
1.original,148_2025_QH15_m_675262,0.13115101,0.58955701,0.841473,0.758673,0.0206,0.874467,0.87292,1
1.original,148_NQ-CP_710006,0.25208783,0.63015115,0.838124,0.545055,0.050363,0.893252,0.89082,1
1.original,149_2025_QH15_679698,0.12979631,0.53978495,0.795448,0.722869,0.047524,0.847123,0.845583,1
1.original,14_2022_QH15_519327,0.11712956,0.52493606,0.843941,0.624357,0.029794,0.888139,0.880047,1
1.original,14_2026_NQ-HDND_707808,0.151385,0.55527211,0.847089,0.675944,0.043971,0.899666,0.896537,1
1.original,14_2026_NQ-HDND_709408,0.13851026,0.54179567,0.792614,0.607092,0.083335,0.88123,0.879708,1
1.original,14_2026_NQ-HDND_710206,0.15313076,0.57226433,0.807804,0.571141,0.057465,0.877074,0.877082,1
1.original,14_NQ-HDND_707830,0.12616968,0.53862661,0.779399,0.609849,0.076695,0.875809,0.875457,1
1.original,150_2025_QH15_685773,0.12055256,0.5367701,0.838912,0.759383,0.022446,0.883342,0.873524,1
1.original,15_2023_QH15_372143,0.12912765,0.58484128,0.828111,0.610852,0.030631,0.873678,0.868757,1
1.original,15_2026_NQ-HDND_707809,0.24903214,0.53944867,0.834176,0.723085,0.041143,0.882085,0.883608,1
1.original,15_2026_NQ-HDND_707811,0.15164135,0.5483871,0.836795,0.776528,0.039745,0.892263,0.88416,1
1.original,15_2026_NQ-HDND_709741,0.34435347,0.58680473,0.818821,0.58929,0.051132,0.883907,0.885826,1
1.original,15_NQ-HDND_707829,0.3379694,0.66982622,0.839669,0.63692,0.06003,0.911312,0.90903,1
1.original,16_2023_QH15_519324,0.14998215,0.56918493,0.835855,0.659654,0.0264,0.878477,0.874205,1
1.original,16_2026_NQ-HDND_707769,0.1577802,0.57664975,0.836958,0.66752,0.05102,0.895917,0.892799,1
1.original,16_2026_NQ-HDND_707810,0.12596359,0.50481125,0.843571,0.728533,0.049426,0.904506,0.900109,1
1.original,17_2023_QH15_499239,0.11676467,0.51794705,0.835839,0.653672,0.028158,0.882486,0.879204,1
1.original,17_2026_NQ-HDND_709410,0.16909193,0.55232558,0.830729,0.728576,0.048211,0.903636,0.895717,1
1.original,18_2023_QH15_519325,0.1303369,0.58009986,0.822386,0.300668,0.062905,0.872323,0.868766,1
1.original,18_2026_NQ-HDND_709411,0.14889365,0.51267992,0.827665,0.683191,0.058198,0.909748,0.909857,1
1.original,18_NQ-HDND_707827,0.13636364,0.53209459,0.82199,0.667785,0.081044,0.89856,0.896321,1
1.original,19_2023_QH15_m_500102,0.11696265,0.53250077,0.840546,0.640447,0.029049,0.881938,0.88295,1
1.original,19_2026_NQ-HDND_709412,0.15479599,0.55178211,0.794936,0.554779,0.074732,0.890244,0.888622,1
1.original,20_2023_QH15_m_513347,0.13699922,0.60564612,0.834532,0.720663,0.024587,0.874454,0.872606,1
1.original,20_2026_NQ-HDND_709415,0.13186975,0.52541209,0.822722,0.652587,0.056921,0.892715,0.894142,1
1.original,20_2026_NQ-HDND_709736,0.24827642,0.59793925,0.76784,0.273887,0.133092,0.82551,0.876361,1
1.original,20_NQ-HDND_707825,0.12194608,0.51612903,0.827499,0.706594,0.050419,0.88661,0.880898,1
1.original,21_2026_NQ-HDND_709413,0.1236336,0.53350683,0.845322,0.713478,0.038331,0.896594,0.891492,1
1.original,21_2026_NQ-HDND_709737,0.13307538,0.57773304,0.83255,0.417884,0.056677,0.883219,0.869877,1
1.original,21_NQ-HDND_707824,0.13585805,0.56219512,0.752263,0.583602,0.096992,0.862995,0.865007,1
1.original,22_2026_NQ-HDND_709414,0.12564083,0.53293201,0.832471,0.670157,0.053987,0.890439,0.890566,1
1.original,22_2026_NQ-HDND_709738,0.17200422,0.55577568,0.826755,0.682628,0.0378,0.875114,0.878493,1
1.original,23_2023_QH15_m_563579,0.13050697,0.56738152,0.820258,0.618996,0.041586,0.866473,0.864271,1
1.original,23_2026_NQ-HDND_709416,0.128965,0.55939918,0.823765,0.635139,0.044973,0.887859,0.878941,1
1.original,23_2026_NQ-HDND_709739,0.11722054,0.49371563,0.816927,0.57616,0.079089,0.896092,0.896194,1
1.original,23_NQ-HDND_707612,0.12901424,0.4815756,0.828121,0.686884,0.059995,0.894213,0.890644,1
1.original,23_NQ-HDND_707821,0.13176008,0.53323263,0.818912,0.706694,0.05007,0.870048,0.863214,1
1.original,23_NQ-HDND_709740 (1),0.12344433,0.53813333,0.839265,0.739596,0.03711,0.887416,0.888709,1
1.original,23_NQ-HDND_709740,0.12344433,0.53813333,0.839265,0.739596,0.03711,0.887416,0.888709,1
1.original,24_2023_QH15_535782,0.12218157,0.56147311,0.840013,0.62187,0.02786,0.881515,0.877831,1
1.original,24_2026_NQ-HDND_709417,0.1256154,0.49137336,0.822611,0.67239,0.058059,0.900715,0.901249,1
1.original,24_2026_NQ-HDND_709733,0.16009916,0.57191279,0.840674,0.687649,0.031926,0.889434,0.884836,1
1.original,24_NQ-HDND_707611,0.12621056,0.51536812,0.850808,0.689396,0.051554,0.894735,0.896657,1
1.original,24_NQ-HDND_707820,0.13224326,0.53997379,0.827595,0.696464,0.054319,0.888528,0.878829,1
1.original,25_2023_QH15_548477,0.11579297,0.52060461,0.852973,0.72981,0.021893,0.890085,0.885603,1
1.original,25_2026_NQ-HDND_709430,0.13754968,0.5312,0.834111,0.728114,0.053934,0.905315,0.906698,1
1.original,25_2026_NQ-HDND_709752,0.13146009,0.55486231,0.822322,0.655592,0.044039,0.876254,0.873755,1
1.original,26_2023_QH15_m_552422,0.12803933,0.55487714,0.83923,0.549839,0.043484,0.879637,0.882875,1
1.original,26_2026_NQ-HDND_709418,0.14639152,0.54984342,0.84115,0.694305,0.050516,0.895642,0.89598,1
1.original,26_2026_NQ-HDND_709750,0.1448454,0.5704174,0.829067,0.607674,0.034243,0.883361,0.878813,1
1.original,26_NQ-HDND_709743,0.11656909,0.52224517,0.833,0.635359,0.040773,0.878567,0.877216,1
1.original,278_NQ-UBTVQH16_709850,0.1375896,0.59772099,0.819613,0.692098,0.050753,0.886993,0.880902,1
1.original,279_NQ-UBTVQH16_709851,0.1412794,0.62851142,0.826494,0.608385,0.050026,0.871195,0.869614,1
1.original,27_2023_QH15_528669,0.13162976,0.53674747,0.833519,0.685881,0.027257,0.884371,0.881392,1
1.original,27_2026_NQ-HDND_709419,0.12659479,0.53136685,0.792526,0.469144,0.114909,0.871145,0.871171,1
1.original,27_2026_NQ-HDND_709748,0.25770483,0.64291551,0.855171,0.693483,0.039312,0.904749,0.903417,1
1.original,28_2023_QH15_583801,0.12027931,0.54700325,0.85682,0.620848,0.028244,0.89926,0.893926,1
1.original,28_2026_NQ-CP_710007,0.12964607,0.5278266,0.8376,0.728575,0.043575,0.897584,0.902047,1
1.original,28_2026_NQ-HDND_709420,0.12579123,0.53190349,0.825821,0.64616,0.056712,0.892266,0.892305,1
1.original,28_2026_NQ-HDND_710200,0.12964485,0.5482087,0.802144,0.599194,0.048359,0.872736,0.870348,1
1.original,29_2023_QH15_530116,0.12161965,0.53854979,0.843401,0.710127,0.025914,0.897022,0.883187,1
1.original,29_2026_NQ-HDND_709421,0.29703042,0.59115646,0.827174,0.725485,0.045753,0.894167,0.895305,1
1.original,30_2023_QH15_445699,0.13993871,0.58708235,0.823112,0.336991,0.080758,0.861158,0.867286,1
1.original,30_2026_NQ-HDND_709429,0.14227524,0.5495617,0.816525,0.699913,0.048289,0.886487,0.882449,1
1.original,31_2024_QH15_523642,0.13672296,0.60289031,0.826098,0.625361,0.0289,0.875314,0.872539,1
1.original,31_2026_NQ-HDND_709428,0.14720218,0.54631722,0.812572,0.614498,0.075438,0.880408,0.881667,1
1.original,32_2024_QH15_m_577203,0.12345089,0.55838486,0.835192,0.562183,0.028397,0.889887,0.877614,1
1.original,32_2026_NQ-HDND_709422,0.13605567,0.52658662,0.840453,0.735691,0.049053,0.907681,0.900108,1
1.original,33_2024_QH15_545181,0.12926108,0.56212834,0.839493,0.62926,0.028095,0.881041,0.873479,1
1.original,33_2026_NQ-HDND_709423,0.13363059,0.52988293,0.804763,0.662269,0.061617,0.879242,0.880103,1
1.original,34_2024_QH15_580434,0.11419022,0.50676093,0.851635,0.713091,0.029046,0.907491,0.890952,1
1.original,34_NQ-HDND_709431,0.14764268,0.49425287,0.827302,0.713072,0.059851,0.907391,0.896614,1
1.original,3579_QD-UBND_708038,0.52781795,0.83957952,0.844748,0.655433,0.041315,0.888146,0.878392,1
1.original,35_2024_QH15_588811,0.12511383,0.55726527,0.842604,0.732132,0.024305,0.886466,0.880267,1
1.original,35_NQ-HDND_707110,0.57643901,0.8101331,0.874991,0.652198,0.041438,0.924627,0.926967,1
1.original,36_2024_QH15_444251,0.11707637,0.52119893,0.822222,0.548131,0.040516,0.886454,0.878924,1
1.original,36_NQ-HDND_707610,0.11723971,0.51925661,0.837784,0.623056,0.049001,0.899249,0.897912,1
1.original,37_2024_QH15_588810,0.12653223,0.54783682,0.825835,0.5467,0.042528,0.870965,0.873051,1
1.original,38_2024_QH15_555033,0.1217319,0.56303504,0.860192,0.711986,0.019575,0.895447,0.890548,1
1.original,38_2026_QD-UBND_708135,0.13740309,0.56091887,0.799344,0.567215,0.069702,0.877556,0.872245,1
1.original,39_2024_QH15_575158,0.12156414,0.54646829,0.844019,0.746526,0.023018,0.88726,0.882215,1
1.original,40_2024_QH15_564046,0.13807531,0.6001773,0.826493,0.72576,0.026626,0.868579,0.85815,1
1.original,40_NQ-HDND_707111,0.64223019,0.90327238,0.8576,0.659546,0.037009,0.906367,0.904957,1
1.original,41_2019_QH14_387991,0.11533322,0.50871987,0.850456,0.70455,0.027873,0.902597,0.894168,1
1.original,41_2024_QH15_557190,0.13330457,0.5865938,0.813392,0.606936,0.032483,0.871149,0.863405,1
1.original,42_NQ-HDND_707609,0.14094801,0.52483286,0.825888,0.688276,0.048241,0.899025,0.896943,1
1.original,43_2019_QH14_367665,0.12759536,0.57544365,0.840822,0.346631,0.049958,0.885197,0.879146,1
1.original,43_2024_QH15_612195,0.128,0.54342432,0.66884,0.326714,0.178528,0.815195,0.76607,1
1.original,44_2024_QH15_583839,0.12732396,0.56944345,0.820941,0.617044,0.037236,0.869057,0.866301,1
1.original,44_NQ-HDND_707608,0.14572193,0.50992366,0.820982,0.707068,0.08005,0.918387,0.918387,1
1.original,45_2019_QH14_333670,0.12930342,0.58210175,0.835875,0.488426,0.033051,0.873263,0.878473,1
1.original,45_2024_QH15_583769,0.12385415,0.53618623,0.848918,0.683906,0.024718,0.895779,0.886703,1
1.original,45_NQ-HDND_707607,0.15358507,0.51873767,0.812309,0.72615,0.072348,0.90445,0.90445,1
1.original,46_2019_QH14_398157,0.11813058,0.53195087,0.847427,0.648159,0.035059,0.886194,0.883944,1
1.original,46_2024_QH15_524982,0.119717,0.54726027,0.831331,0.682291,0.02578,0.879253,0.871024,1
1.original,46_2026_QD-UBND_708335,0.15619324,0.5227656,0.886026,0.842852,0.035178,0.924397,0.924397,1
1.original,46_NQ-HDND_707606,0.37269409,0.72487437,0.858682,0.693323,0.033472,0.900002,0.891085,1
1.original,47_2019_QH14_411945,0.11943869,0.53268809,0.828035,0.697815,0.040711,0.877002,0.877759,1
1.original,47_2024_QH15_583645,0.12190582,0.54051027,0.845597,0.588728,0.037323,0.888214,0.886619,1
1.original,47_NQ-HDND_707603,0.18241283,0.5849238,0.819947,0.591981,0.044576,0.885015,0.883069,1
1.original,48_2019_QH14_366794,0.12623119,0.55810516,0.841934,0.653311,0.030529,0.885437,0.878635,1
1.original,48_2024_QH15_556390,0.12075197,0.53669347,0.841026,0.639172,0.033506,0.878786,0.883248,1
1.original,49_2019_QH14_402073,0.13775986,0.61254341,0.822306,0.675132,0.027339,0.864102,0.861673,1
1.original,49_2024_QH15_548487,0.1084608,0.49775112,0.846444,0.491675,0.048196,0.889442,0.891638,1
1.original,50_2019_QH14_411944,0.12554905,0.52388797,0.701563,0.481719,0.148759,0.825262,0.825262,1
1.original,50_2024_QH15_445264,0.11342358,0.5181676,0.854884,0.669026,0.029325,0.890768,0.887016,1
1.original,51_2019_QH14_422706,0.13305095,0.57612323,0.810848,0.632641,0.040852,0.868649,0.857714,1
1.original,51_2024_QH15_m_505750,0.12884022,0.5575461,0.812125,0.57371,0.041945,0.869388,0.865594,1
1.original,52_2019_QH14_405729,0.13021452,0.57448004,0.823456,0.690688,0.034594,0.872947,0.863106,1
1.original,52_2024_QH15_630032,0.12509353,0.5355407,0.816627,0.683582,0.044565,0.871764,0.873645,1
1.original,53_2019_QH14_351558,0.13651525,0.60890715,0.850712,0.699646,0.027738,0.887822,0.878813,1
1.original,53_2024_QH15_m_607439,0.1170633,0.51937135,0.833183,0.661581,0.027515,0.875005,0.870039,1
1.original,54_2019_QH14_399763,0.11224354,0.50614229,0.847626,0.654692,0.024439,0.893623,0.882604,1
1.original,54_2024_QH15_578531,0.11547424,0.52311646,0.850272,0.730828,0.023599,0.891567,0.888195,1
1.original,54_KH-UBND_708180,0.2084931,0.613481,0.831535,0.69773,0.037647,0.88975,0.883999,1
1.original,55_2019_QH14_410870,0.13131608,0.58434548,0.81538,0.645163,0.041281,0.85588,0.860948,1
1.original,55_2024_QH15_621347,0.1254928,0.56892269,0.832117,0.686381,0.030144,0.878489,0.876237,1
1.original,56_2020_QH14_422707,0.12184111,0.54327273,0.841024,0.631011,0.042279,0.885962,0.876721,1
1.original,56_2024_QH15_m_622318,0.12277116,0.54236798,0.829631,0.601053,0.045541,0.885255,0.880193,1
1.original,57_2020_QH14_416260,0.11044345,0.50544323,0.84052,0.621838,0.042115,0.882265,0.876793,1
1.original,57_2024_QH15_623631,0.12771796,0.55667906,0.835566,0.608791,0.031865,0.881088,0.879107,1
1.original,58_2020_QH14_395767,0.12177441,0.54530363,0.838522,0.66661,0.028247,0.878316,0.875415,1
1.original,58_2024_QH15_m_621645,0.12625918,0.55932362,0.846667,0.5574,0.031441,0.887022,0.883313,1
1.original,58_2026_NQ-HDND_709771,0.15130606,0.58046615,0.845869,0.784917,0.040764,0.904744,0.89275,1
1.original,59_2020_QH14_427301,0.12013712,0.53866498,0.83077,0.618342,0.027367,0.878263,0.874123,1
1.original,59_2024_QH15_606865,0.12308696,0.55491924,0.822792,0.591469,0.034672,0.88123,0.870906,1
1.original,60_2020_QH14_373522,0.11460709,0.51514615,0.834044,0.670152,0.044814,0.884361,0.877503,1
1.original,60_2024_QH15_m_621343,0.14079672,0.61298652,0.833758,0.661285,0.029347,0.871786,0.866812,1
1.original,60_2026_NQ-HDND_709424,0.12994619,0.53222303,0.838916,0.689632,0.05875,0.895543,0.895087,1
1.original,61_2020_QH14_321051,0.13469004,0.53668324,0.795174,0.521984,0.071208,0.881771,0.8808,1
1.original,61_2024_QH15_613892,0.12896097,0.57877184,0.836957,0.628586,0.026324,0.882639,0.87644,1
